oss,xdate,SITE_ID,name,BSC,BCF,BTS,TRX,frequencyBandInUse,Remark
SS,2019-09-03,13TJK191,D_LABUHAN_DALAM_TJK_PL1_O_XXX,407671,71,74,19,1,Missing
SS,2019-09-03,13TJK191,D_LABUHAN_DALAM_TJK_PL1_O_XXX,407671,71,74,20,1,Missing
SS,2019-09-03,13TJK191,D_LABUHAN_DALAM_TJK_PL1_O_XXX,407671,71,74,21,1,Missing
SS,2019-09-03,13TJK191,D_LABUHAN_DALAM_TJK_PL2_O_XXX,407671,71,75,25,1,Missing
SS,2019-09-03,13TJK191,D_LABUHAN_DALAM_TJK_PL2_O_XXX,407671,71,75,26,1,Missing
SS,2019-09-03,13TJK191,D_LABUHAN_DALAM_TJK_PL2_O_XXX,407671,71,75,27,1,Missing
SS,2019-09-03,13TJK191,D_LABUHAN_DALAM_TJK_PL3_O_XXX,407671,71,76,31,1,Missing
SS,2019-09-03,13TJK191,D_LABUHAN_DALAM_TJK_PL3_O_XXX,407671,71,76,32,1,Missing
SS,2019-09-03,13TJK191,D_LABUHAN_DALAM_TJK_PL3_O_XXX,407671,71,76,33,1,Missing
SS,2019-09-03,13TJK056,D_TURI_RAYA_PL1_XYX,407671,1951,1954,19,1,Missing
SS,2019-09-03,13TJK056,D_TURI_RAYA_PL1_XYX,407671,1951,1954,20,1,Missing
SS,2019-09-03,13TJK056,D_TURI_RAYA_PL1_XYX,407671,1951,1954,21,1,Missing
SS,2019-09-03,13TJK056,D_TURI_RAYA_PL2_XYX,407671,1951,1955,25,1,Missing
SS,2019-09-03,13TJK056,D_TURI_RAYA_PL3_XYX,407671,1951,1956,31,1,Missing
SS,2019-09-03,13TJK056,D_TURI_RAYA_PL3_XYX,407671,1951,1956,32,1,Missing
SS,2019-09-03,13TJK056,D_TURI_RAYA_PL3_XYX,407671,1951,1956,33,1,Missing
SS,2019-09-03,13TJK070,D_KARANGSARI_LPG1_XYX,407671,2081,2084,19,1,Missing
SS,2019-09-03,13TJK070,D_KARANGSARI_LPG1_XYX,407671,2081,2084,20,1,Missing
SS,2019-09-03,13TJK070,D_KARANGSARI_LPG1_XYX,407671,2081,2084,21,1,Missing
SS,2019-09-03,13TJK070,D_KARANGSARI_LPG2_XYX,407671,2081,2085,25,1,Missing
SS,2019-09-03,13TJK070,D_KARANGSARI_LPG2_XYX,407671,2081,2085,26,1,Missing
SS,2019-09-03,13TJK070,D_KARANGSARI_LPG2_XYX,407671,2081,2085,27,1,Missing
SS,2019-09-03,13TJK070,D_KARANGSARI_LPG3_XYX,407671,2081,2086,31,1,Missing
SS,2019-09-03,13TJK070,D_KARANGSARI_LPG3_XYX,407671,2081,2086,32,1,Missing
SS,2019-09-03,13TJK070,D_KARANGSARI_LPG3_XYX,407671,2081,2086,33,1,Missing
SS,2019-09-03,13TJK082,D_SABURAI_PS1_XYX,407671,2161,2164,19,1,Missing
SS,2019-09-03,13TJK082,D_SABURAI_PS1_XYX,407671,2161,2164,20,1,Missing
SS,2019-09-03,13TJK082,D_SABURAI_PS1_XYX,407671,2161,2164,21,1,Missing
SS,2019-09-03,13TJK082,D_SABURAI_PS2_XYX,407671,2161,2165,25,1,Missing
SS,2019-09-03,13TJK082,D_SABURAI_PS2_XYX,407671,2161,2165,26,1,Missing
SS,2019-09-03,13TJK082,D_SABURAI_PS2_XYX,407671,2161,2165,27,1,Missing
SS,2019-09-03,13TJK082,D_SABURAI_PS3_XYX,407671,2161,2166,31,1,Missing
SS,2019-09-03,13TJK082,D_SABURAI_PS3_XYX,407671,2161,2166,32,1,Missing
SS,2019-09-03,13TJK082,D_SABURAI_PS3_XYX,407671,2161,2166,33,1,Missing
SS,2019-09-03,13TJK083,D_ANTASARI_LSP1_XYX,407671,2171,2174,19,1,Missing
SS,2019-09-03,13TJK083,D_ANTASARI_LSP1_XYX,407671,2171,2174,20,1,Missing
SS,2019-09-03,13TJK083,D_ANTASARI_LSP1_XYX,407671,2171,2174,21,1,Missing
SS,2019-09-03,13TJK083,D_ANTASARI_LSP2_XYX,407671,2171,2175,25,1,Missing
SS,2019-09-03,13TJK083,D_ANTASARI_LSP2_XYX,407671,2171,2175,26,1,Missing
SS,2019-09-03,13TJK083,D_ANTASARI_LSP2_XYX,407671,2171,2175,27,1,Missing
SS,2019-09-03,13TJK083,D_ANTASARI_LSP3_XYX,407671,2171,2176,31,1,Missing
SS,2019-09-03,13TJK083,D_ANTASARI_LSP3_XYX,407671,2171,2176,32,1,Missing
SS,2019-09-03,13TJK083,D_ANTASARI_LSP3_XYX,407671,2171,2176,33,1,Missing
SS,2019-09-03,13TJK084,D_JL._TAMIM_PS1_XYX,407671,2181,2184,19,1,Missing
SS,2019-09-03,13TJK084,D_JL._TAMIM_PS1_XYX,407671,2181,2184,20,1,Missing
SS,2019-09-03,13TJK084,D_JL._TAMIM_PS1_XYX,407671,2181,2184,21,1,Missing
SS,2019-09-03,13TJK084,D_JL._TAMIM_PS2_XYX,407671,2181,2185,25,1,Missing
SS,2019-09-03,13TJK084,D_JL._TAMIM_PS2_XYX,407671,2181,2185,26,1,Missing
SS,2019-09-03,13TJK084,D_JL._TAMIM_PS2_XYX,407671,2181,2185,27,1,Missing
