oss,xdate,SITE_ID,yesterdayName,todayName,BSC,BCF,BTS,TRX,frequencyBandInUse,Remark
JAV,2019-09-04,14TMG021,JLPARAKAN_MT1_XXX,JLPARAKAN_MT1_O_XYX,376196,1,1,1,0,newXYX
JAV,2019-09-04,14TMG021,JLPARAKAN_MT2_XXX,JLPARAKAN_MT2_O_XYX,376196,1,2,7,0,newXYX
JAV,2019-09-04,14TMG021,JLPARAKAN_MT3_XXX,JLPARAKAN_MT3_O_XYX,376196,1,3,13,0,newXYX
JAV,2019-09-04,20SBY451,TUNJUNGAN_PLZA61XXX,TUNJUNGAN_PLZA61_O_XYX,395629,68,68,1,0,newXYX
JAV,2019-09-04,20SBY451,TUNJUNGAN_PLZA62XXX,TUNJUNGAN_PLZA62_O_XYX,395629,68,69,7,0,newXYX
JAV,2019-09-04,20SBY451,TUNJUNGAN_PLZA63XXX,TUNJUNGAN_PLZA63_O_XYX,395629,68,70,13,0,newXYX
JAV,2019-09-04,20SBY191,GRH_BUKOPIN1_XXX,GRH_BUKOPIN1_O_XYX,395629,127,127,1,0,newXYX
JAV,2019-09-04,20SBY191,GRH_BUKOPIN2_XXX,GRH_BUKOPIN2_O_XYX,395629,127,128,7,0,newXYX
JAV,2019-09-04,20SBY191,GRH_BUKOPIN3_XXX,GRH_BUKOPIN3_O_XYX,395629,127,129,13,0,newXYX
JAV,2019-09-04,20SBY401,PAKUWONSBY_CM1_O_XXX,PAKUWONSBY_CM1_O_XYX,395631,115,115,1,0,newXYX
JAV,2019-09-04,20SBY401,PAKUWONSBY_CM2_O_XXX,PAKUWONSBY_CM2_O_XYX,395631,115,116,7,0,newXYX
JAV,2019-09-04,20SBY401,PAKUWONSBY_CM3_O_XXX,PAKUWONSBY_CM3_O_XYX,395631,115,117,13,0,newXYX
KLM,2019-09-04,17KBA013,SEMAYAP_KOTABARU_KN1XXX,SEMAYAP_KOTABARU_KN1_O_XYX,404555,261,261,1,0,newXYX
KLM,2019-09-04,17KBA013,SEMAYAP_KOTABARU_KN2XXX,SEMAYAP_KOTABARU_KN2_O_XYX,404555,261,262,7,0,newXYX
KLM,2019-09-04,17KBA013,SEMAYAP_KOTABARU_KN3XXX,SEMAYAP_KOTABARU_KN3_O_XYX,404555,261,263,13,0,newXYX
KLM,2019-09-04,17BRI023,DS_MANDINGIN_PL1_O_XXX,DS_MANDINGIN_PL1_O_XYX,404555,371,371,1,0,newXYX
KLM,2019-09-04,17BRI023,DS_MANDINGIN_PL2_O_XXX,DS_MANDINGIN_PL2_O_XYX,404555,371,372,7,0,newXYX
KLM,2019-09-04,17BRI023,DS_MANDINGIN_PL3_O_XXX,DS_MANDINGIN_PL3_O_XYX,404555,371,373,13,0,newXYX
KLM,2019-09-04,17MTP074,RANTAUNGKST1_O_XXX,RANTAUNGKST1_O_XYX,404555,1121,1121,1,0,newXYX
