oss,xdate,SITE_ID,yesterdayName,todayName,RNC,WBTS,WCEL,IPNBId,PtxCellMax,MBLBStateTransEnabled,Remark
JAV,2019-09-04,15BTL065,U_WIROBRAJANPTNG4,U_WIROBRAJANPTNG4_O_XYX,1121,2642,20554,2642,460,1,newXYX
JAV,2019-09-04,15BTL065,U_WIROBRAJANPTNG5,U_WIROBRAJANPTNG5_O_XYX,1121,2642,20555,2642,460,1,newXYX
JAV,2019-09-04,15BTL065,U_WIROBRAJANPTNG6,U_WIROBRAJANPTNG6_O_XYX,1121,2642,20556,2642,460,1,newXYX
JAV,2019-09-04,15BTL065,U_WIROBRAJANPTNG1,U_WIROBRAJANPTNG1_O_XYX,1121,2642,20897,2642,478,1,newXYX
JAV,2019-09-04,15BTL065,U_WIROBRAJANPTNG2,U_WIROBRAJANPTNG2_O_XYX,1121,2642,20898,2642,460,1,newXYX
JAV,2019-09-04,15BTL065,U_WIROBRAJANPTNG3,U_WIROBRAJANPTNG3_O_XYX,1121,2642,20899,2642,478,1,newXYX
JAV,2019-09-04,15YOG001,U_NATOUR4,U_NATOUR4_O_XYX,1121,2825,16004,2825,460,1,newXYX
JAV,2019-09-04,15YOG001,U_NATOUR5,U_NATOUR5_O_XYX,1121,2825,16005,2825,460,1,newXYX
JAV,2019-09-04,15YOG001,U_NATOUR6,U_NATOUR6_O_XYX,1121,2825,16006,2825,460,1,newXYX
JAV,2019-09-04,15YOG001,U_NATOUR1,U_NATOUR1_O_XYX,1121,2825,21107,2825,478,1,newXYX
JAV,2019-09-04,15YOG001,U_NATOUR2,U_NATOUR2_O_XYX,1121,2825,21108,2825,478,1,newXYX
JAV,2019-09-04,15YOG001,U_NATOUR3,U_NATOUR3_O_XYX,1121,2825,21109,2825,478,1,newXYX
JAV,2019-09-04,15BTL043,U_NGESTIHARJOSM1,U_NGESTIHARJOSM1_O_XYX,1121,3155,21867,3155,478,1,newXYX
JAV,2019-09-04,15BTL043,U_NGESTIHARJOSM2,U_NGESTIHARJOSM2_O_XYX,1121,3155,21868,3155,478,1,newXYX
JAV,2019-09-04,15BTL043,U_NGESTIHARJOSM3,U_NGESTIHARJOSM3_O_XYX,1121,3155,21869,3155,478,1,newXYX
JAV,2019-09-04,15BTL043,U_NGESTIHARJOSM4,U_NGESTIHARJOSM4_O_XYX,1121,3155,34764,3155,460,1,newXYX
JAV,2019-09-04,15BTL043,U_NGESTIHARJOSM5,U_NGESTIHARJOSM5_O_XYX,1121,3155,34765,3155,460,1,newXYX
JAV,2019-09-04,15BTL043,U_NGESTIHARJOSM6,U_NGESTIHARJOSM6_O_XYX,1121,3155,34766,3155,460,1,newXYX
JAV,2019-09-04,15YOG110,U_NYAI_YOG_PL1,U_NYAI_YOG_PL1_O_XYX,1121,3239,32391,3239,460,1,newXYX
JAV,2019-09-04,15YOG110,U_NYAI_YOG_PL2,U_NYAI_YOG_PL2_O_XYX,1121,3239,32392,3239,460,1,newXYX
JAV,2019-09-04,15YOG110,U_NYAI_YOG_PL3,U_NYAI_YOG_PL3_O_XYX,1121,3239,32393,3239,460,1,newXYX
JAV,2019-09-04,15YOG090,U_JAMBULUWUK1,U_JAMBULUWUK1_O_XYX,1121,3360,20437,3360,460,1,newXYX
JAV,2019-09-04,15YOG090,U_JAMBULUWUK2,U_JAMBULUWUK2_O_XYX,1121,3360,20438,3360,460,1,newXYX
JAV,2019-09-04,15YOG090,U_JAMBULUWUK3,U_JAMBULUWUK3_O_XYX,1121,3360,20439,3360,460,1,newXYX
JAV,2019-09-04,15YOG090,U_JAMBULUWUK4,U_JAMBULUWUK4_O_XYX,1121,3360,36134,3360,460,1,newXYX
JAV,2019-09-04,15YOG090,U_JAMBULUWUK5,U_JAMBULUWUK5_O_XYX,1121,3360,36135,3360,460,1,newXYX
JAV,2019-09-04,15YOG090,U_JAMBULUWUK6,U_JAMBULUWUK6_O_XYX,1121,3360,36136,3360,460,1,newXYX
JAV,2019-09-04,15SMN059,U_BABARSARI1_ZZZ,U_BABARSARI1_O_XYX,1121,3363,20597,3363,460,1,newXYX
JAV,2019-09-04,15SMN059,U_BABARSARI2_ZZZ,U_BABARSARI2_O_XYX,1121,3363,20598,3363,460,1,newXYX
JAV,2019-09-04,15SMN059,U_BABARSARI3_ZZZ,U_BABARSARI3_O_XYX,1121,3363,20599,3363,460,1,newXYX
JAV,2019-09-04,15SMN059,U_BABARSARI4_ZZZ,U_BABARSARI4_O_XYX,1121,3363,34624,3363,460,1,newXYX
JAV,2019-09-04,15SMN059,U_BABARSARI5_ZZZ,U_BABARSARI5_O_XYX,1121,3363,34625,3363,460,1,newXYX
JAV,2019-09-04,15SMN059,U_BABARSARI6_ZZZ,U_BABARSARI6_O_XYX,1121,3363,34626,3363,460,1,newXYX
JAV,2019-09-04,15SMN096,U_BOKOHARJO1,U_BOKOHARJO1_O_XYX,1126,2663,20937,2663,478,1,newXYX
JAV,2019-09-04,15SMN096,U_BOKOHARJO2,U_BOKOHARJO2_O_XYX,1126,2663,20938,2663,478,1,newXYX
JAV,2019-09-04,15SMN096,U_BOKOHARJO3,U_BOKOHARJO3_O_XYX,1126,2663,20939,2663,478,1,newXYX
JAV,2019-09-04,15SMN096,U_BOKOHARJO4,U_BOKOHARJO4_O_XYX,1126,2663,26124,2663,460,1,newXYX
JAV,2019-09-04,15SMN096,U_BOKOHARJO5,U_BOKOHARJO5_O_XYX,1126,2663,26125,2663,460,1,newXYX
JAV,2019-09-04,15SMN096,U_BOKOHARJO6,U_BOKOHARJO6_O_XYX,1126,2663,26126,2663,460,1,newXYX
JAV,2019-09-04,15SMN048,U_TAJEM1,U_TAJEM1_O_XYX,1126,3065,21837,3065,478,1,newXYX
JAV,2019-09-04,15SMN048,U_TAJEM2,U_TAJEM2_O_XYX,1126,3065,21838,3065,478,1,newXYX
JAV,2019-09-04,15SMN048,U_TAJEM3,U_TAJEM3_O_XYX,1126,3065,21839,3065,478,1,newXYX
JAV,2019-09-04,15SMN048,U_TAJEM4,U_TAJEM4_O_XYX,1126,3065,34254,3065,460,1,newXYX
JAV,2019-09-04,15SMN048,U_TAJEM5,U_TAJEM5_O_XYX,1126,3065,34255,3065,460,1,newXYX
JAV,2019-09-04,15SMN048,U_TAJEM6,U_TAJEM6_O_XYX,1126,3065,34256,3065,460,1,newXYX
JAV,2019-09-04,14KLT052,U_GONDANGSELATAN1,U_GONDANGSELATAN1_O_XYX,1126,3233,23147,3233,460,1,newXYX
JAV,2019-09-04,14KLT052,U_GONDANGSELATAN2,U_GONDANGSELATAN2_O_XYX,1126,3233,23148,3233,460,1,newXYX
JAV,2019-09-04,14KLT052,U_GONDANGSELATAN3,U_GONDANGSELATAN3_O_XYX,1126,3233,23149,3233,460,1,newXYX
JAV,2019-09-04,14KLT052,U_GONDANGSELATAN4,U_GONDANGSELATAN4_O_XYX,1126,3233,32994,3233,460,1,newXYX
JAV,2019-09-04,14KLT052,U_GONDANGSELATAN5,U_GONDANGSELATAN5_O_XYX,1126,3233,32995,3233,460,1,newXYX
JAV,2019-09-04,14KLT052,U_GONDANGSELATAN6,U_GONDANGSELATAN6_O_XYX,1126,3233,32996,3233,460,1,newXYX
JAV,2019-09-04,15SMN066,U_SUMBERSARISLM1,U_SUMBERSARISLM1_O_XYX,1131,3189,22997,3189,448,1,newXYX
JAV,2019-09-04,15SMN066,U_SUMBERSARISLM2,U_SUMBERSARISLM2_O_XYX,1131,3189,22998,3189,448,1,newXYX
JAV,2019-09-04,15SMN066,U_SUMBERSARISLM3,U_SUMBERSARISLM3_O_XYX,1131,3189,22999,3189,448,1,newXYX
JAV,2019-09-04,15SMN066,U_SUMBERSARISLM4,U_SUMBERSARISLM4_O_XYX,1131,3189,34794,3189,460,1,newXYX
JAV,2019-09-04,15SMN066,U_SUMBERSARISLM5,U_SUMBERSARISLM5_O_XYX,1131,3189,34795,3189,460,1,newXYX
JAV,2019-09-04,15SMN066,U_SUMBERSARISLM6,U_SUMBERSARISLM6_O_XYX,1131,3189,34796,3189,460,1,newXYX
JAV,2019-09-04,15BTL040,U_PLAWONAN_BTL_PL1,U_PLAWONAN_BTL_PL1_O_XYX,1131,3252,32521,3252,460,1,newXYX
JAV,2019-09-04,15BTL040,U_PLAWONAN_BTL_PL2,U_PLAWONAN_BTL_PL2_O_XYX,1131,3252,32522,3252,460,1,newXYX
JAV,2019-09-04,15BTL040,U_PLAWONAN_BTL_PL3,U_PLAWONAN_BTL_PL3_O_XYX,1131,3252,32523,3252,460,1,newXYX
JAV,2019-09-04,15BTL040,U_PLAWONAN_BTL_PL4,U_PLAWONAN_BTL_PL4_O_XYX,1131,3252,32524,3252,460,1,newXYX
JAV,2019-09-04,15BTL040,U_PLAWONAN_BTL_PL5,U_PLAWONAN_BTL_PL5_O_XYX,1131,3252,32525,3252,460,1,newXYX
JAV,2019-09-04,15BTL040,U_PLAWONAN_BTL_PL6,U_PLAWONAN_BTL_PL6_O_XYX,1131,3252,32526,3252,460,1,newXYX
JAV,2019-09-04,15SMN074,U_TIRTASANI1,U_TIRTASANI1_O_XYX,1131,4171,21987,4171,478,1,newXYX
JAV,2019-09-04,15SMN074,U_TIRTASANI2,U_TIRTASANI2_O_XYX,1131,4171,21988,4171,478,1,newXYX
JAV,2019-09-04,15SMN074,U_TIRTASANI3,U_TIRTASANI3_O_XYX,1131,4171,21989,4171,478,1,newXYX
JAV,2019-09-04,14STG010,U_OSA_MALIKI_CM1,U_OSA_MALIKI_CM1_O_XYX,1136,1645,16451,1645,460,1,newXYX
JAV,2019-09-04,14STG010,U_OSA_MALIKI_CM2,U_OSA_MALIKI_CM2_O_XYX,1136,1645,16452,1645,460,1,newXYX
JAV,2019-09-04,14STG010,U_OSA_MALIKI_CM3,U_OSA_MALIKI_CM3_O_XYX,1136,1645,16453,1645,460,1,newXYX
JAV,2019-09-04,14STG010,U_OSA_MALIKI_CM4,U_OSA_MALIKI_CM4_O_XYX,1136,1645,16454,1645,460,1,newXYX
JAV,2019-09-04,14STG010,U_OSA_MALIKI_CM5,U_OSA_MALIKI_CM5_O_XYX,1136,1645,16455,1645,460,1,newXYX
JAV,2019-09-04,14STG010,U_OSA_MALIKI_CM6,U_OSA_MALIKI_CM6_O_XYX,1136,1645,16456,1645,460,1,newXYX
JAV,2019-09-04,14UNR089,U_AMBARAWA_IB1,U_AMBARAWA_IB1_O_XYX,1136,2010,20101,2010,460,1,newXYX
JAV,2019-09-04,14UNR089,U_AMBARAWA_IB2,U_AMBARAWA_IB2_O_XYX,1136,2010,20102,2010,460,1,newXYX
JAV,2019-09-04,14UNR089,U_AMBARAWA_IB3,U_AMBARAWA_IB3_O_XYX,1136,2010,20103,2010,460,1,newXYX
JAV,2019-09-04,14UNR089,U_AMBARAWA_IB4,U_AMBARAWA_IB4_O_XYX,1136,2010,20104,2010,460,1,newXYX
JAV,2019-09-04,14UNR089,U_AMBARAWA_IB5,U_AMBARAWA_IB5_O_XYX,1136,2010,20105,2010,460,1,newXYX
JAV,2019-09-04,14UNR089,U_AMBARAWA_IB6,U_AMBARAWA_IB6_O_XYX,1136,2010,20106,2010,460,1,newXYX
JAV,2019-09-04,14UNR125,U_GENDANG_UNR_ML1,U_GENDANG_UNR_ML1_O_XYX,1136,3116,31161,3116,460,1,newXYX
JAV,2019-09-04,14UNR125,U_GENDANG_UNR_ML2,U_GENDANG_UNR_ML2_O_XYX,1136,3116,31162,3116,460,1,newXYX
