oss,xdate,SITE_ID,yesterdayName,todayName,cellname,MRBTS,lnbts,LNCEL,earfcnDL,dlchbw,pMax,remark
JAV,2019-09-04,14TMG021,L_JLPARAKAN_MT1_XXX,L_JLPARAKAN_MT1_XXX_O_XYX,L_JLPARAKAN_MT1_XXX,31407,31407,1,1625,200,430,newXYX
JAV,2019-09-04,14TMG021,L_JLPARAKAN_MT2_XXX,L_JLPARAKAN_MT2_XXX_O_XYX,L_JLPARAKAN_MT2_XXX,31407,31407,2,1625,200,430,newXYX
JAV,2019-09-04,14TMG021,L_JLPARAKAN_MT3_XXX,L_JLPARAKAN_MT3_XXX_O_XYX,L_JLPARAKAN_MT3_XXX,31407,31407,3,1625,200,430,newXYX
JAV,2019-09-04,14SMG031,E_JAGALAN_SMG1,E_JAGALAN_SMG1_O_XYX,E_JAGALAN_SMG1_O_XYX,32362,32362,1,500,100,430,newXYX
JAV,2019-09-04,14SMG031,E_JAGALAN_SMG2,E_JAGALAN_SMG2_O_XYX,E_JAGALAN_SMG2_O_XYX,32362,32362,2,500,100,430,newXYX
JAV,2019-09-04,14SMG031,E_JAGALAN_SMG3,E_JAGALAN_SMG3_O_XYX,E_JAGALAN_SMG3_O_XYX,32362,32362,3,500,100,430,newXYX
JAV,2019-09-04,14SMG008,E_SUDIRMAN_SMG1,E_SUDIRMAN_SMG1_O_XYX,E_SUDIRMAN_SMG1_O_XYX,32368,32368,1,500,100,430,newXYX
JAV,2019-09-04,14SMG008,E_SUDIRMAN_SMG2,E_SUDIRMAN_SMG2_O_XYX,E_SUDIRMAN_SMG2_O_XYX,32368,32368,2,500,100,430,newXYX
JAV,2019-09-04,14SMG008,E_SUDIRMAN_SMG3,E_SUDIRMAN_SMG3_O_XYX,E_SUDIRMAN_SMG3_O_XYX,32368,32368,3,500,100,430,newXYX
JAV,2019-09-04,14SMG107,E_PODOREJO1,E_PODOREJO1_O_XYX,E_PODOREJO1_O_XYX,32576,32576,1,500,100,430,newXYX
JAV,2019-09-04,14SMG107,E_PODOREJO2,E_PODOREJO2_O_XYX,E_PODOREJO2_O_XYX,32576,32576,2,500,100,430,newXYX
JAV,2019-09-04,14SMG107,E_PODOREJO3,E_PODOREJO3_O_XYX,E_PODOREJO3_O_XYX,32576,32576,3,500,100,430,newXYX
JAV,2019-09-04,14UNR124,E_GEDANGANAK_UNR_PL1,E_GEDANGANAK_UNR_PL1_O_XYX,E_GEDANGANAK_UNR_PL1_O_XYX,32772,32772,1,500,100,430,newXYX
JAV,2019-09-04,14UNR124,E_GEDANGANAK_UNR_PL2,E_GEDANGANAK_UNR_PL2_O_XYX,E_GEDANGANAK_UNR_PL2_O_XYX,32772,32772,2,500,100,430,newXYX
JAV,2019-09-04,14UNR124,E_GEDANGANAK_UNR_PL3,E_GEDANGANAK_UNR_PL3_O_XYX,E_GEDANGANAK_UNR_PL3_O_XYX,32772,32772,3,500,100,430,newXYX
JAV,2019-09-04,14SMG324,E_TAMBAKAJI_SMG_TB1,E_TAMBAKAJI_SMG_TB1_O_XYX,E_TAMBAKAJI_SMG_TB1_O_XYX,32779,32779,1,500,100,430,newXYX
JAV,2019-09-04,14SMG324,E_TAMBAKAJI_SMG_TB2,E_TAMBAKAJI_SMG_TB2_O_XYX,E_TAMBAKAJI_SMG_TB2_O_XYX,32779,32779,2,500,100,430,newXYX
JAV,2019-09-04,14SMG324,E_TAMBAKAJI_SMG_TB3,E_TAMBAKAJI_SMG_TB3_O_XYX,E_TAMBAKAJI_SMG_TB3_O_XYX,32779,32779,3,500,100,430,newXYX
JAV,2019-09-04,14SMG325,E_BANARAN_SMG_TB1,E_BANARAN_SMG_TB1_O_XYX,E_BANARAN_SMG_TB1_O_XYX,32780,32780,1,500,100,430,newXYX
JAV,2019-09-04,14SMG325,E_BANARAN_SMG_TB2,E_BANARAN_SMG_TB2_O_XYX,E_BANARAN_SMG_TB2_O_XYX,32780,32780,2,500,100,430,newXYX
JAV,2019-09-04,14SMG325,E_BANARAN_SMG_TB3,E_BANARAN_SMG_TB3_O_XYX,E_BANARAN_SMG_TB3_O_XYX,32780,32780,3,500,100,430,newXYX
JAV,2019-09-04,14SMG445,E_CANDILAND_SMG1_O_XXX,E_CANDILAND_SMG1_O_XYX,E_CANDILAND_SMG1_O_XYX,32807,32807,1,500,100,430,newXYX
JAV,2019-09-04,14SMG445,E_CANDILAND_SMG2_O_XXX,E_CANDILAND_SMG2_O_XYX,E_CANDILAND_SMG2_O_XYX,32807,32807,2,500,100,430,newXYX
JAV,2019-09-04,14SMG445,E_CANDILAND_SMG3_O_XXX,E_CANDILAND_SMG3_O_XYX,E_CANDILAND_SMG3_O_XYX,32807,32807,3,500,100,430,newXYX
JAV,2019-09-04,20SBY401,L_PAKUWONSBY_CM1_O_XXX,L_PAKUWONSBY_CM1_O_XYX,L_PAKUWONSBY_CM1_O_XYX,40439,40439,1,1625,200,460,newXYX
JAV,2019-09-04,20SBY401,L_PAKUWONSBY_CM2_O_XXX,L_PAKUWONSBY_CM2_O_XYX,L_PAKUWONSBY_CM2_O_XYX,40439,40439,2,1625,200,460,newXYX
JAV,2019-09-04,20SBY401,L_PAKUWONSBY_CM3_O_XXX,L_PAKUWONSBY_CM3_O_XYX,L_PAKUWONSBY_CM3_O_XYX,40439,40439,3,1625,200,460,newXYX
JAV,2019-09-04,20SBY191,L_GRH_BUKOPIN1,L_GRH_BUKOPIN1_O_XYX,L_GRH_BUKOPIN1_O_XYX,40447,40447,1,1625,200,460,newXYX
JAV,2019-09-04,20SBY191,L_GRH_BUKOPIN2,L_GRH_BUKOPIN2_O_XYX,L_GRH_BUKOPIN2_O_XYX,40447,40447,2,1625,200,460,newXYX
JAV,2019-09-04,20SBY191,L_GRH_BUKOPIN3,L_GRH_BUKOPIN3_O_XYX,L_GRH_BUKOPIN3_O_XYX,40447,40447,3,1625,200,460,newXYX
JAV,2019-09-04,20SBY451,L_TUNJUNGAN_PLZ61,L_TUNJUNGAN_PLZ61_O_XYX,L_TUNJUNGAN_PLZ61,40460,40460,1,1625,200,460,newXYX
JAV,2019-09-04,20SBY451,L_TUNJUNGAN_PLZ62,L_TUNJUNGAN_PLZ62_O_XYX,L_TUNJUNGAN_PLZ62,40460,40460,2,1625,200,460,newXYX
JAV,2019-09-04,20SBY451,L_TUNJUNGAN_PLZ63,L_TUNJUNGAN_PLZ63_O_XYX,L_TUNJUNGAN_PLZ63,40460,40460,3,1625,200,460,newXYX
JAV,2019-09-04,20SBY191,_L_GRHBUKOPIN1,_L_GRHBUKOPIN1_O_XYX,_L_GRHBUKOPIN1_O_XYX,40516,40516,7,1625,150,448,newXYX
JAV,2019-09-04,20SBY326,E_UNAIR1,E_UNAIR1_O_XYX,E_UNAIR1_O_XYX,47113,47113,7,500,100,430,newXYX
JAV,2019-09-04,20SBY326,E_UNAIR2,E_UNAIR2_O_XYX,E_UNAIR2_O_XYX,47113,47113,8,500,100,430,newXYX
JAV,2019-09-04,20SBY326,E_UNAIR3,E_UNAIR3_O_XYX,E_UNAIR3_O_XYX,47113,47113,9,500,100,430,newXYX
JAV,2019-09-04,20SBY451,_L_TUNJUNGAN_PLZ61,_L_TUNJUNGAN_PLZ61_O_XYX,_L_TUNJUNGAN_PLZ61_O_XYX,47250,47250,7,1625,150,448,newXYX
JAV,2019-09-04,20SBY451,_L_TUNJUNGAN_PLZ62,_L_TUNJUNGAN_PLZ62_O_XYX,_L_TUNJUNGAN_PLZ62_O_XYX,47250,47250,8,1625,150,448,newXYX
JAV,2019-09-04,20SBY451,_L_TUNJUNGAN_PLZ63,_L_TUNJUNGAN_PLZ63_O_XYX,_L_TUNJUNGAN_PLZ63_O_XYX,47250,47250,9,1625,150,448,newXYX
JAV,2019-09-04,20GSK003,E_PETRO1,E_PETRO1_O_XYX,E_PETRO1_O_XYX,47259,47259,7,500,100,430,newXYX
JAV,2019-09-04,20GSK003,E_PETRO2,E_PETRO2_O_XYX,E_PETRO2_O_XYX,47259,47259,8,500,100,430,newXYX
JAV,2019-09-04,20GSK003,E_PETRO3,E_PETRO3_O_XYX,E_PETRO3_O_XYX,47259,47259,9,500,100,430,newXYX
JAV,2019-09-04,20GSK009,E_KEBOMAS1,E_KEBOMAS1_O_XYX,E_KEBOMAS1_O_XYX,47260,47260,7,500,100,430,newXYX
JAV,2019-09-04,20GSK009,E_KEBOMAS2,E_KEBOMAS2_O_XYX,E_KEBOMAS2_O_XYX,47260,47260,8,500,100,430,newXYX
JAV,2019-09-04,20GSK009,E_KEBOMAS3,E_KEBOMAS3_O_XYX,E_KEBOMAS3_O_XYX,47260,47260,9,500,100,430,newXYX
JAV,2019-09-04,20SBY113,E_PETRAIM31,E_PETRAIM31_O_XYX,E_PETRAIM31_O_XYX,47262,47262,7,500,100,430,newXYX
